                     timestamp      open      high       low     close       volume  Bollinger_High  Bollinger_Med  Bollinger_Low      SMA200        RSI     Regime  Buy_Signal  Sell_Signal  Buy_Signal_Bollinger  Buy_Signal_Regime  Sell_Signal_Bollinger  Sell_Signal_Regime
2032 2023-05-02 13:00:00+00:00  169.7757  170.3500  169.4107  169.7700    6477375.0      170.249575     169.583650     168.917725  148.456670  54.787008    Uptrend       False        False                 False               True                  False               False
2033 2023-05-02 14:00:00+00:00  169.8000  169.9338  168.0200  168.2700    8776191.0      170.377802     169.554650     168.731498  148.465375  53.545016    Uptrend        True        False                  True               True                  False               False
2034 2023-05-02 15:00:00+00:00  168.2600  168.3768  167.5400  167.6300    7128548.0      170.640547     169.489150     168.337753  148.473555  53.029521    Uptrend       False        False                  True               True                  False               False
2035 2023-05-02 16:00:00+00:00  167.6200  168.5200  167.5500  168.3900    4037344.0      170.681243     169.434150     168.187057  148.482200  53.563076    Uptrend       False        False                 False               True                  False               False
2036 2023-05-02 17:00:00+00:00  168.3800  168.9500  168.3300  168.6758    4169329.0      170.683658     169.393940     168.104222  148.491183  53.761587    Uptrend       False        False                 False               True                  False               False
2037 2023-05-02 18:00:00+00:00  168.6800  169.0500  168.3450  169.0300    3426651.0      170.667247     169.369445     168.071643  148.500888  54.006482    Uptrend       False        False                 False               True                  False               False
2038 2023-05-02 19:00:00+00:00  169.0300  169.2800  168.3900  168.5500    6951776.0      170.652632     169.314445     167.976258  148.509921  53.619696    Uptrend       False        False                 False               True                  False               False
2039 2023-05-02 20:00:00+00:00  168.5400  168.6300  168.3000  168.4100    7484717.0      170.522143     169.217445     167.912747  148.518348  53.507364    Uptrend       False        False                 False               True                  False               False
2040 2023-05-02 21:00:00+00:00  168.4201  168.4900  168.3200  168.3700      32290.0      170.409190     169.128450     167.847710  148.527243  53.475195    Uptrend       False        False                 False               True                  False               False
2041 2023-05-02 22:00:00+00:00  168.3800  168.5000  168.3000  168.3500      47346.0      170.378633     169.069235     167.759837  148.536688  53.459044    Uptrend       False        False                 False               True                  False               False
2042 2023-05-02 23:00:00+00:00  168.2800  168.6000  168.2600  168.6000      49498.0      170.325526     169.021235     167.716944  148.546583  53.634966    Uptrend       False        False                 False               True                  False               False
2043 2023-05-03 08:00:00+00:00  168.7500  168.9300  168.6000  168.8700      21149.0      170.273947     168.988735     167.703523  148.556263  53.824416    Uptrend       False        False                 False               True                  False               False
2044 2023-05-03 09:00:00+00:00  168.8700  168.9600  168.8400  168.9500       9221.0      170.238715     168.966735     167.694755  148.565798  53.880533    Uptrend       False        False                 False               True                  False               False
2045 2023-05-03 10:00:00+00:00  168.9400  169.3000  168.9400  169.0300      32995.0      170.205144     168.948235     167.691326  148.575713  53.936795    Uptrend       False        False                 False               True                  False               False
2046 2023-05-03 11:00:00+00:00  169.0500  169.3700  169.0500  169.1000      54139.0      170.175293     168.933235     167.691177  148.585663  53.986158    Uptrend       False        False                 False               True                  False               False
2047 2023-05-03 12:00:00+00:00  169.0563  169.3502  167.0400  169.0001    1185939.0      170.117460     168.906240     167.695020  148.595263  53.903305    Uptrend       False        False                 False               True                  False               False
2048 2023-05-03 13:00:00+00:00  169.0000  170.8900  168.9900  170.7519    8411221.0      170.381593     168.960335     167.539077  148.606239  55.117252    Uptrend       False        False                 False               True                   True               False
2049 2023-05-03 14:00:00+00:00  170.7500  170.9200  169.5700  169.6250    7820618.0      170.339894     168.947585     167.555276  148.616892  54.194546    Uptrend       False        False                 False               True                  False               False
2050 2023-05-03 15:00:00+00:00  169.6200  169.9299  169.1800  169.9214    4416354.0      170.361745     168.953655     167.545565  148.627767  54.396357    Uptrend       False        False                 False               True                  False               False
2051 2023-05-03 16:00:00+00:00  169.9287  170.1700  169.5200  169.9950    3857870.0      170.400749     168.964460     167.528171  148.638780  54.446444    Uptrend       False        False                 False               True                  False               False
2052 2023-05-03 17:00:00+00:00  169.9950  170.2900  169.7804  169.8900    3706598.0      170.421090     168.970460     167.519830  148.649420  54.360839    Uptrend       False        False                 False               True                  False               False
2053 2023-05-03 18:00:00+00:00  169.8800  170.7600  169.0500  170.0500   10223862.0      170.545258     169.059460     167.573662  148.661290  54.470470    Uptrend       False        False                 False               True                  False               False
2054 2023-05-03 19:00:00+00:00  170.0401  170.4700  167.1600  167.4650   12014883.0      170.570128     169.051210     167.532292  148.671757  52.425644    Uptrend        True        False                  True               True                  False               False
2055 2023-05-03 20:00:00+00:00  167.4800  167.6000  165.3200  165.6600   15896723.0      171.023075     168.914710     166.806345  148.681514  51.079971    Uptrend       False        False                  True               True                  False               False
2056 2023-05-03 21:00:00+00:00  165.6600  167.4500  162.7500  164.2500    2333693.0      171.624259     168.693420     165.762581  148.690994  50.070950    Uptrend       False        False                  True               True                  False               False
2057 2023-05-03 22:00:00+00:00  164.2400  165.3893  163.5200  165.2000     525416.0      171.797564     168.501920     165.206276  148.701262  50.729993    Uptrend       False        False                  True               True                  False               False
2058 2023-05-03 23:00:00+00:00  165.1600  165.7200  165.0000  165.6000     211012.0      171.884010     168.354420     164.824830  148.711803  51.003669    Uptrend       False        False                 False               True                  False               False
2059 2023-05-04 08:00:00+00:00  166.0200  166.4400  165.1500  165.4000     109567.0      171.960582     168.203920     164.447258  148.722003  50.861700    Uptrend       False        False                 False               True                  False               False
2060 2023-05-04 09:00:00+00:00  165.5000  165.6400  165.2000  165.4100      30480.0      172.003143     168.055920     164.108697  148.733123  50.868573    Uptrend       False        False                 False               True                  False               False
2061 2023-05-04 10:00:00+00:00  165.5000  166.1600  165.3200  165.5000      57260.0      172.010809     167.913420     163.816031  148.742948  50.930646    Uptrend       False        False                 False               True                  False               False
2062 2023-05-04 11:00:00+00:00  165.5200  165.5700  164.8000  165.1500     191126.0      171.995634     167.740920     163.486206  148.752923  50.680387    Uptrend       False        False                 False               True                  False               False
2063 2023-05-04 12:00:00+00:00  165.3990  166.6200  164.4800  164.9000     507962.0      171.936073     167.542420     163.148767  148.762698  50.502243    Uptrend       False        False                 False               True                  False               False
2064 2023-05-04 13:00:00+00:00  164.9200  165.5000  164.2200  165.1650   10668715.0      171.813561     167.353170     162.892779  148.772111  50.686904    Uptrend       False        False                 False               True                  False               False
2065 2023-05-04 14:00:00+00:00  165.1600  166.2300  165.0000  165.9500    9652501.0      171.629932     167.199170     162.768408  148.782031  51.228601    Uptrend       False        False                 False               True                  False               False
2066 2023-05-04 15:00:00+00:00  165.9300  166.8800  165.5184  165.7766    7391980.0      171.415158     167.033000     162.650842  148.791969  51.103976    Uptrend       False        False                 False               True                  False               False
2067 2023-05-04 16:00:00+00:00  165.7600  166.6400  165.4300  166.5800    5002292.0      171.202903     166.911995     162.621087  148.802424  51.651664    Uptrend       False        False                 False               True                  False               False
2068 2023-05-04 17:00:00+00:00  166.5850  167.0400  166.0100  166.3700    5609895.0      170.608210     166.692900     162.777590  148.813109  51.500122    Uptrend       False        False                 False               True                  False               False
2069 2023-05-04 18:00:00+00:00  166.3800  166.4000  165.3000  165.6150    5832964.0      170.191290     166.492400     162.793510  148.820276  50.959889    Uptrend       False        False                 False               True                  False               False
2070 2023-05-04 19:00:00+00:00  165.6100  166.3400  165.0800  165.7800   13427527.0      169.640947     166.285330     162.929713  148.825299  51.072619    Uptrend       False        False                 False               True                  False               False
2071 2023-05-04 20:00:00+00:00  165.7800  171.4700  165.3000  167.3900   17382431.0      169.101949     166.155080     163.208211  148.831454  52.151259    Uptrend       False        False                 False               True                  False               False
2072 2023-05-04 21:00:00+00:00  167.3000  170.2600  166.6900  169.2000    4886139.0      168.903323     166.120580     163.337837  148.837681  53.314152    Uptrend       False        False                 False               True                   True               False
2073 2023-05-04 22:00:00+00:00  169.2000  169.6600  168.8000  169.3500     644831.0      168.681061     166.085580     163.490099  148.844131  53.408464    Uptrend       False        False                 False               True                   True               False
2074 2023-05-04 23:00:00+00:00  169.3900  169.9200  169.3500  169.9200     387042.0      169.247449     166.208330     163.169211  148.851028  53.765170    Uptrend       False        False                 False               True                   True               False
2075 2023-05-05 08:00:00+00:00  170.0000  170.0000  169.2800  169.5100      88621.0      169.748679     166.400830     163.052981  148.857928  53.469237    Uptrend       False        False                 False               True                  False               False
2076 2023-05-05 09:00:00+00:00  169.4900  169.6800  169.3500  169.6000      47971.0      170.138718     166.668330     163.197942  148.864578  53.525671    Uptrend       False        False                 False               True                  False               False
2077 2023-05-05 10:00:00+00:00  169.6300  169.8400  169.4600  169.4900      70225.0      170.491253     166.882830     163.274407  148.871353  53.446047    Uptrend       False        False                 False               True                  False               False
2078 2023-05-05 11:00:00+00:00  169.4900  170.4200  169.4400  170.0900     335206.0      170.921406     167.107330     163.293254  148.879058  53.822617    Uptrend       False        False                 False               True                  False               False
2079 2023-05-05 12:00:00+00:00  169.4999  170.7100  169.0000  170.0100    1600197.0      171.266794     167.337830     163.408866  148.886673  53.764340    Uptrend       False        False                 False               True                  False               False
2080 2023-05-05 13:00:00+00:00  170.0100  173.7500  169.8300  173.1200   30350702.0      172.282464     167.723330     163.164196  148.895833  55.640909    Uptrend       False        False                 False               True                   True               False
2081 2023-05-05 14:00:00+00:00  173.1400  174.2000  172.7200  173.5600   20061685.0      173.221502     168.126330     163.031158  148.905308  55.895440    Uptrend       False        False                 False               True                   True               False
2082 2023-05-05 15:00:00+00:00  173.5648  174.0500  173.3300  173.7937   10921810.0      174.023471     168.558515     163.093559  148.915310  56.030118    Uptrend       False        False                 False               True                  False               False
2083 2023-05-05 16:00:00+00:00  173.7950  174.0500  173.2100  173.4650    9762611.0      174.578717     168.986765     163.394813  148.925538  55.789304    Uptrend       False        False                 False               True                  False               False
2084 2023-05-05 17:00:00+00:00  173.4700  174.0900  173.2400  173.8819    7266260.0      175.113074     169.422610     163.732146  148.936134  56.030196    Uptrend       False        False                 False               True                  False               False
2085 2023-05-05 18:00:00+00:00  173.8858  174.1800  173.6900  174.1450    7313892.0      175.642539     169.832360     164.022181  148.946566  56.181629    Uptrend       False        False                 False               True                  False               False
2086 2023-05-05 19:00:00+00:00  174.1500  174.3000  173.3000  173.6200   15172863.0      175.944880     170.224530     164.504180  148.956581  55.796253    Uptrend       False        False                 False               True                  False               False
2087 2023-05-05 20:00:00+00:00  173.6300  173.6900  173.0000  173.4900   10886554.0      176.202175     170.570030     164.937885  148.966461  55.701168    Uptrend       False        False                 False               True                  False               False
2088 2023-05-05 21:00:00+00:00  173.5000  173.5500  173.0300  173.0500     186799.0      176.287044     170.904030     165.521016  148.976186  55.380134    Uptrend       False        False                 False               True                  False               False
2089 2023-05-08 08:00:00+00:00  173.1000  173.5700  173.1000  173.4200      30488.0      176.197229     171.294280     166.391331  148.986171  55.596421    Uptrend       False        False                 False               True                  False               False
2090 2023-05-08 09:00:00+00:00  173.4100  173.4800  173.3000  173.4700      11035.0      175.958131     171.678780     167.399429  148.996206  55.625634    Uptrend       False        False                 False               True                  False               False
2091 2023-05-08 10:00:00+00:00  173.4700  173.5400  173.1000  173.2300      25939.0      175.814517     171.970780     168.127043  149.006201  55.449648    Uptrend       False        False                 False               True                  False               False
2092 2023-05-08 11:00:00+00:00  173.2000  173.4500  173.1000  173.1600      99534.0      175.824584     172.168780     168.512976  149.016131  55.398272    Uptrend       False        False                 False               True                  False               False
2093 2023-05-08 12:00:00+00:00  173.2700  173.4600  172.7600  172.9000     342146.0      175.775086     172.346280     168.917474  149.025851  55.207325    Uptrend       False        False                 False               True                  False               False
2094 2023-05-08 13:00:00+00:00  172.8900  173.5700  172.1100  172.7840   12137681.0      175.735345     172.489480     169.243615  149.034968  55.122132    Uptrend       False        False                 False               True                  False               False
2095 2023-05-08 14:00:00+00:00  172.7950  173.8200  172.7201  173.4700   10798049.0      175.653226     172.687480     169.721734  149.044303  55.529998    Uptrend       False        False                 False               True                  False               False
2096 2023-05-08 15:00:00+00:00  173.4800  173.7680  173.1500  173.7600    5186928.0      175.531034     172.895480     170.259926  149.053683  55.701051    Uptrend       False        False                 False               True                  False               False
2097 2023-05-08 16:00:00+00:00  173.7700  173.8200  173.4100  173.4400    3870891.0      175.221351     173.092980     170.964609  149.062933  55.464455    Uptrend       False        False                 False               True                  False               False
2098 2023-05-08 17:00:00+00:00  173.4500  173.8500  173.3500  173.7050    3384184.0      174.907932     173.273730     171.639528  149.072001  55.621343    Uptrend       False        False                 False               True                  False               False
2099 2023-05-08 18:00:00+00:00  173.7000  173.8000  172.9600  173.7250    4957577.0      174.125021     173.459480     172.793939  149.082432  55.633198    Uptrend       False        False                 False               True                  False               False
2100 2023-05-08 19:00:00+00:00  173.7250  173.7800  173.2100  173.5200    6530622.0      174.126804     173.479480     172.832156  149.094167  55.480523    Uptrend       False        False                 False               True                  False               False
2101 2023-05-08 20:00:00+00:00  173.5200  173.5300  173.3000  173.3500    8981427.0      174.117551     173.468980     172.820409  149.105812  55.353916    Uptrend       False        False                 False               True                  False               False
2102 2023-05-08 21:00:00+00:00  173.3500  173.5000  173.3500  173.4000    4936252.0      174.080925     173.449295     172.817665  149.117479  55.384012    Uptrend       False        False                 False               True                  False               False
2103 2023-05-08 22:00:00+00:00  173.3800  173.3800  173.2622  173.3600      23253.0      174.076810     173.444045     172.811280  149.129104  55.354011    Uptrend       False        False                 False               True                  False               False
2104 2023-05-08 23:00:00+00:00  173.3600  173.4300  173.2500  173.2800      15432.0      174.017115     173.413950     172.810785  149.140259  55.293806    Uptrend       False        False                 False               True                  False               False
2105 2023-05-09 08:00:00+00:00  173.4300  173.4300  172.6400  172.8200      23024.0      173.904405     173.347700     172.790995  149.151384  54.948434    Uptrend       False        False                 False               True                  False               False
2106 2023-05-09 09:00:00+00:00  172.8500  172.8500  172.7000  172.7200      12018.0      173.907507     173.302700     172.697893  149.162584  54.873550    Uptrend       False        False                 False               True                  False               False
2107 2023-05-09 10:00:00+00:00  172.8000  172.9000  172.6400  172.8000       8161.0      173.904247     173.268200     172.632153  149.173859  54.922942    Uptrend       False        False                 False               True                  False               False
2108 2023-05-09 11:00:00+00:00  172.8500  172.9800  172.5000  172.7300      69686.0      173.924466     173.252200     172.579934  149.184994  54.870128    Uptrend       False        False                 False               True                  False               False
2109 2023-05-09 12:00:00+00:00  172.8400  173.0200  172.5100  172.5500    2862340.0      173.941747     173.208700     172.475653  149.196064  54.734108    Uptrend       False        False                 False               True                  False               False
2110 2023-05-09 13:00:00+00:00  172.5600  173.5400  172.2300  172.7750    7985336.0      173.919934     173.173950     172.427966  149.207152  54.874640    Uptrend       False        False                 False               True                  False               False
2111 2023-05-09 14:00:00+00:00  172.7800  172.8900  172.1450  172.5150    6229962.0      173.936695     173.138200     172.339705  149.218219  54.677497    Uptrend       False        False                 False               True                  False               False
2112 2023-05-09 15:00:00+00:00  172.5100  172.6400  171.8200  171.8550    4901875.0      174.047521     173.072950     172.098379  149.229247  54.180901    Uptrend        True        False                  True               True                  False               False
2113 2023-05-09 16:00:00+00:00  171.8500  172.4300  171.8100  172.3690    3410925.0      174.066251     173.046400     172.026549  149.240741  54.504316    Uptrend       False        False                 False               True                  False               False
2114 2023-05-09 17:00:00+00:00  172.3700  172.4800  171.9600  172.0850    3677869.0      174.109766     173.011450     171.913134  149.252354  54.291513    Uptrend       False        False                 False               True                  False               False
2115 2023-05-09 18:00:00+00:00  172.0900  172.3576  171.9200  172.0720    3187393.0      174.090990     172.941550     171.792110  149.264050  54.281763    Uptrend       False        False                 False               True                  False               False
2116 2023-05-09 19:00:00+00:00  172.0750  172.2350  171.6000  171.7800    8044065.0      174.033296     172.842550     171.651804  149.275290  54.062591    Uptrend       False        False                 False               True                  False               False
2117 2023-05-09 20:00:00+00:00  171.8000  171.8700  171.6400  171.7500   10210436.0      174.005712     172.758050     171.510388  149.286707  54.040061    Uptrend       False        False                 False               True                  False               False
2118 2023-05-09 21:00:00+00:00  171.7500  171.7600  171.6600  171.7100      18617.0      173.906178     172.658300     171.410422  149.297957  54.009899    Uptrend       False        False                 False               True                  False               False
2119 2023-05-09 22:00:00+00:00  171.7100  171.9080  171.7000  171.8500      20416.0      173.758343     172.564550     171.370757  149.309367  54.100014    Uptrend       False        False                 False               True                  False               False
2120 2023-05-09 23:00:00+00:00  171.8800  171.9700  171.7601  171.9400      22518.0      173.623800     172.485550     171.347300  149.321445  54.158049    Uptrend       False        False                 False               True                  False               False
2121 2023-05-10 08:00:00+00:00  171.6300  171.6300  170.8500  171.2500      28729.0      173.566879     172.380550     171.194221  149.334565  53.635520    Uptrend       False        False                 False               True                  False               False
2122 2023-05-10 09:00:00+00:00  171.2100  171.3700  171.1800  171.2300       4075.0      173.462505     172.272050     171.081595  149.347930  53.620450    Uptrend       False        False                 False               True                  False               False
2123 2023-05-10 10:00:00+00:00  171.2600  171.4100  171.2600  171.4100       1872.0      173.310797     172.174550     171.038303  149.361360  53.738028    Uptrend       False        False                 False               True                  False               False
2124 2023-05-10 11:00:00+00:00  171.4100  171.8000  171.4100  171.7000      49400.0      173.128376     172.095550     171.062724  149.375085  53.927152    Uptrend       False        False                 False               True                  False               False
2125 2023-05-10 12:00:00+00:00  171.5987  173.2300  171.1900  173.1100     730436.0      173.190210     172.110050     171.029890  149.389590  54.829503    Uptrend       False        False                 False               True                  False               False
2126 2023-05-10 13:00:00+00:00  173.1200  174.0300  172.5500  172.9860    7712340.0      173.239185     172.123350     171.007515  149.404083  54.734754    Uptrend       False        False                 False               True                  False               False
